timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/31 05:46:27.110, 5 %, 0 %, 5282 MiB, 32768 MiB, 43.86 W, 43
2026/08/31 05:46:32.118, 100 %, 66 %, 6256 MiB, 32768 MiB, 205.28 W, 71
2026/08/31 05:46:32.121, 7 %, 1 %, 5282 MiB, 32768 MiB, 45.33 W, 43
2026/08/31 05:46:37.126, 100 %, 68 %, 6256 MiB, 32768 MiB, 258.59 W, 72
2026/08/31 05:46:37.129, 7 %, 1 %, 5282 MiB, 32768 MiB, 43.99 W, 43
2026/08/31 05:46:42.132, 99 %, 66 %, 6256 MiB, 32768 MiB, 234.34 W, 71
2026/08/31 05:46:42.136, 23 %, 20 %, 5282 MiB, 32768 MiB, 223.38 W, 45
2026/08/31 05:46:47.141, 100 %, 67 %, 6256 MiB, 32768 MiB, 241.10 W, 69
2026/08/31 05:46:47.144, 3 %, 0 %, 5282 MiB, 32768 MiB, 43.42 W, 42
2026/08/31 05:46:52.149, 100 %, 67 %, 6256 MiB, 32768 MiB, 209.52 W, 69
2026/08/31 05:46:52.151, 6 %, 0 %, 5282 MiB, 32768 MiB, 43.41 W, 41
2026/08/31 05:46:57.155, 99 %, 67 %, 6256 MiB, 32768 MiB, 194.63 W, 68
2026/08/31 05:46:57.158, 7 %, 1 %, 5282 MiB, 32768 MiB, 43.36 W, 41
2026/08/31 05:47:02.162, 99 %, 66 %, 6256 MiB, 32768 MiB, 211.82 W, 68
2026/08/31 05:47:02.164, 7 %, 1 %, 5282 MiB, 32768 MiB, 56.53 W, 40
2026/08/31 05:47:07.168, 100 %, 69 %, 6256 MiB, 32768 MiB, 186.90 W, 67
2026/08/31 05:47:07.171, 3 %, 0 %, 5282 MiB, 32768 MiB, 202.70 W, 41
2026/08/31 05:47:12.176, 100 %, 66 %, 6256 MiB, 32768 MiB, 196.76 W, 67
2026/08/31 05:47:12.179, 3 %, 0 %, 5282 MiB, 32768 MiB, 42.82 W, 39
2026/08/31 05:47:17.183, 100 %, 66 %, 6256 MiB, 32768 MiB, 171.60 W, 66
2026/08/31 05:47:17.186, 6 %, 0 %, 5282 MiB, 32768 MiB, 42.86 W, 39
2026/08/31 05:47:22.190, 100 %, 67 %, 6256 MiB, 32768 MiB, 208.08 W, 66
2026/08/31 05:47:22.192, 7 %, 1 %, 5282 MiB, 32768 MiB, 47.98 W, 39
2026/08/31 05:47:27.198, 99 %, 67 %, 6256 MiB, 32768 MiB, 193.49 W, 66
2026/08/31 05:47:27.201, 7 %, 1 %, 5282 MiB, 32768 MiB, 42.94 W, 39
2026/08/31 05:47:32.209, 99 %, 66 %, 6256 MiB, 32768 MiB, 174.79 W, 65
2026/08/31 05:47:32.212, 10 %, 6 %, 5282 MiB, 32768 MiB, 204.26 W, 40
2026/08/31 05:47:37.216, 100 %, 66 %, 6256 MiB, 32768 MiB, 174.47 W, 64
2026/08/31 05:47:37.219, 3 %, 0 %, 5282 MiB, 32768 MiB, 42.58 W, 38
2026/08/31 05:47:42.222, 100 %, 68 %, 6256 MiB, 32768 MiB, 216.23 W, 65
2026/08/31 05:47:42.225, 3 %, 0 %, 5282 MiB, 32768 MiB, 42.63 W, 38
2026/08/31 05:47:47.228, 99 %, 66 %, 6256 MiB, 32768 MiB, 208.91 W, 65
2026/08/31 05:47:47.231, 7 %, 1 %, 5282 MiB, 32768 MiB, 42.90 W, 38
2026/08/31 05:47:52.234, 100 %, 66 %, 6256 MiB, 32768 MiB, 218.30 W, 66
2026/08/31 05:47:52.237, 7 %, 1 %, 5282 MiB, 32768 MiB, 49.94 W, 38
2026/08/31 05:47:57.240, 100 %, 69 %, 6256 MiB, 32768 MiB, 177.15 W, 66
2026/08/31 05:47:57.245, 95 %, 98 %, 5282 MiB, 32768 MiB, 43.13 W, 39
2026/08/31 05:48:02.248, 100 %, 68 %, 6256 MiB, 32768 MiB, 198.63 W, 67
2026/08/31 05:48:02.252, 3 %, 0 %, 5282 MiB, 32768 MiB, 42.53 W, 38
2026/08/31 05:48:07.258, 100 %, 68 %, 6256 MiB, 32768 MiB, 178.86 W, 68
2026/08/31 05:48:07.261, 3 %, 0 %, 5282 MiB, 32768 MiB, 42.79 W, 38
2026/08/31 05:48:12.264, 100 %, 65 %, 6256 MiB, 32768 MiB, 206.88 W, 69
2026/08/31 05:48:12.267, 7 %, 1 %, 5282 MiB, 32768 MiB, 43.60 W, 38
2026/08/31 05:48:17.271, 99 %, 68 %, 6256 MiB, 32768 MiB, 244.16 W, 69
